Location,Avg_Risk_Score,Max_Risk_Score,Critical_Alerts_Count,High_Risk_Count,Avg_Predicted_Resistance
Delhi,36.51,51.56,0,0,25.61
Kolkata,34.1,50.8,0,0,25.73
Mumbai,33.35,46.64,0,0,26.23
Bengaluru,29.28,38.52,0,0,22.15
Hyderabad,28.35,39.88,0,0,21.6
Indore,27.51,40.91,0,0,23.5
Ahmedabad,26.65,37.01,0,0,21.18
Chennai,26.5,42.46,0,0,21.33
Surat,25.61,36.35,0,0,20.12
Lucknow,25.53,37.9,0,0,21.81
Pune,25.32,34.05,0,0,20.59
Patna,25.01,34.88,0,0,22.24
Gwalior,23.7,33.26,0,0,17.0
Jaipur,23.33,31.91,0,0,17.09
Visakhapatnam,23.29,33.55,0,0,19.72
Guwahati,23.23,33.06,0,0,19.14
Bhopal,23.09,32.95,0,0,19.51
Jabalpur,22.99,31.15,0,0,16.57
Nagpur,22.95,31.75,0,0,19.45
Bhubaneswar,22.49,33.11,0,0,17.68
Sagar,22.0,31.35,0,0,14.92
Kochi,21.91,31.21,0,0,16.86
Ranchi,21.72,30.42,0,0,17.74
Khargone,21.61,33.31,0,0,14.72
Khandwa,21.43,31.36,0,0,15.2
Ujjain,21.39,31.41,0,0,15.43
Chandigarh,21.22,30.19,0,0,16.41
Rewa,21.01,30.67,0,0,15.81
Dehradun,20.93,31.03,0,0,15.65
