Location,Baseline_Risk,Simulated_Risk,Risk_Reduction_Pts,Baseline_Resistance_Rate,Simulated_Resistance_Rate,Resistance_Reduction_Pts
Delhi,36.55,34.74,1.81,25.69,25.44,0.25
Mumbai,33.4,32.58,0.82,26.35,26.07,0.28
Kolkata,34.13,33.83,0.3,25.82,25.53,0.29
Indore,27.52,28.03,-0.51,23.51,23.26,0.25
Hyderabad,28.35,29.09,-0.75,21.59,21.41,0.18
Bengaluru,29.28,30.34,-1.06,22.13,21.93,0.2
Ahmedabad,26.65,28.14,-1.49,21.18,20.99,0.19
Chennai,26.5,28.06,-1.56,21.34,21.16,0.18
Patna,25.0,26.63,-1.63,22.22,22.0,0.21
Jabalpur,22.99,24.68,-1.7,16.57,16.53,0.04
Lucknow,25.52,27.31,-1.78,21.79,21.58,0.21
Pune,25.33,27.12,-1.79,20.61,20.46,0.16
Surat,25.61,27.51,-1.9,20.12,20.0,0.12
Gwalior,23.7,25.64,-1.93,17.02,16.96,0.06
Visakhapatnam,23.3,25.3,-2.0,19.73,19.6,0.13
Khargone,21.62,23.66,-2.04,14.73,14.7,0.03
Bhubaneswar,22.48,24.6,-2.12,17.67,17.59,0.08
Guwahati,23.24,25.38,-2.14,19.15,19.02,0.13
Jaipur,23.33,25.49,-2.16,17.1,17.06,0.04
Khandwa,21.43,23.64,-2.21,15.2,15.18,0.02
Ujjain,21.4,23.63,-2.23,15.44,15.38,0.06
Chandigarh,21.22,23.64,-2.41,16.41,16.35,0.06
Rewa,21.01,23.42,-2.41,15.81,15.77,0.04
Ranchi,21.73,24.16,-2.43,17.75,17.67,0.08
Sagar,22.0,24.43,-2.43,14.92,14.88,0.04
Bhopal,23.1,25.57,-2.47,19.53,19.39,0.14
Dehradun,20.95,23.5,-2.56,15.69,15.62,0.07
Kochi,21.91,24.55,-2.64,16.87,16.82,0.05
Nagpur,22.96,25.6,-2.65,19.46,19.34,0.12
