Antibiotic,Class,Spectrum,Baseline_Risk,Simulated_Risk,Risk_Reduction_Pts,Baseline_Resistance,Simulated_Resistance,Resistance_Drop_Pts
Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,28.38,26.42,1.95,19.47,19.34,0.13
Meropenem,Carbapenem,Very Broad,31.57,33.12,-1.54,18.72,18.6,0.12
Metronidazole,Nitroimidazole,Narrow,22.1,23.74,-1.64,18.91,18.79,0.12
Amoxicillin,Penicillin,Narrow,23.0,24.89,-1.89,19.83,19.71,0.13
Doxycycline,Tetracycline,Broad,23.26,25.22,-1.96,19.14,19.01,0.13
Ciprofloxacin,Fluoroquinolone,Broad,23.39,25.4,-2.01,19.63,19.49,0.13
Cefixime,Cephalosporin,Broad,23.4,25.49,-2.09,19.58,19.46,0.13
Azithromycin,Macrolide,Broad,24.92,27.04,-2.12,19.22,19.09,0.13
Ceftriaxone,Cephalosporin,Broad,25.19,27.81,-2.62,19.83,19.7,0.13
Cotrimoxazole,Sulfonamide combination,Broad,23.81,26.48,-2.67,19.27,19.13,0.13
