Location,Month,Population,Antibiotic,Class,Spectrum,Is_Combination,Quantity_Sold,Latitude,Longitude
Delhi,2024-01,19000000,Amoxicillin,Penicillin,Narrow,0,42275,28.61,77.21
Delhi,2024-01,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,101370,28.61,77.21
Delhi,2024-01,19000000,Azithromycin,Macrolide,Broad,0,61792,28.61,77.21
Delhi,2024-01,19000000,Cefixime,Cephalosporin,Broad,0,46332,28.61,77.21
Delhi,2024-01,19000000,Ceftriaxone,Cephalosporin,Broad,0,18509,28.61,77.21
Delhi,2024-01,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,47436,28.61,77.21
Delhi,2024-01,19000000,Doxycycline,Tetracycline,Broad,0,40032,28.61,77.21
Delhi,2024-01,19000000,Metronidazole,Nitroimidazole,Narrow,0,31197,28.61,77.21
Delhi,2024-01,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,34525,28.61,77.21
Delhi,2024-01,19000000,Meropenem,Carbapenem,Very Broad,0,2615,28.61,77.21
Delhi,2024-02,19000000,Amoxicillin,Penicillin,Narrow,0,52659,28.61,77.21
Delhi,2024-02,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,97278,28.61,77.21
Delhi,2024-02,19000000,Azithromycin,Macrolide,Broad,0,74462,28.61,77.21
Delhi,2024-02,19000000,Cefixime,Cephalosporin,Broad,0,51685,28.61,77.21
Delhi,2024-02,19000000,Ceftriaxone,Cephalosporin,Broad,0,24244,28.61,77.21
Delhi,2024-02,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,45529,28.61,77.21
Delhi,2024-02,19000000,Doxycycline,Tetracycline,Broad,0,40794,28.61,77.21
Delhi,2024-02,19000000,Metronidazole,Nitroimidazole,Narrow,0,34781,28.61,77.21
Delhi,2024-02,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,37043,28.61,77.21
Delhi,2024-02,19000000,Meropenem,Carbapenem,Very Broad,0,2936,28.61,77.21
Delhi,2024-03,19000000,Amoxicillin,Penicillin,Narrow,0,52075,28.61,77.21
Delhi,2024-03,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,107251,28.61,77.21
Delhi,2024-03,19000000,Azithromycin,Macrolide,Broad,0,74647,28.61,77.21
Delhi,2024-03,19000000,Cefixime,Cephalosporin,Broad,0,53147,28.61,77.21
Delhi,2024-03,19000000,Ceftriaxone,Cephalosporin,Broad,0,21890,28.61,77.21
Delhi,2024-03,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,51704,28.61,77.21
Delhi,2024-03,19000000,Doxycycline,Tetracycline,Broad,0,39680,28.61,77.21
Delhi,2024-03,19000000,Metronidazole,Nitroimidazole,Narrow,0,34647,28.61,77.21
Delhi,2024-03,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,46056,28.61,77.21
Delhi,2024-03,19000000,Meropenem,Carbapenem,Very Broad,0,3122,28.61,77.21
Delhi,2024-04,19000000,Amoxicillin,Penicillin,Narrow,0,51502,28.61,77.21
Delhi,2024-04,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,115250,28.61,77.21
Delhi,2024-04,19000000,Azithromycin,Macrolide,Broad,0,72055,28.61,77.21
Delhi,2024-04,19000000,Cefixime,Cephalosporin,Broad,0,57111,28.61,77.21
Delhi,2024-04,19000000,Ceftriaxone,Cephalosporin,Broad,0,20218,28.61,77.21
Delhi,2024-04,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,47182,28.61,77.21
Delhi,2024-04,19000000,Doxycycline,Tetracycline,Broad,0,42180,28.61,77.21
Delhi,2024-04,19000000,Metronidazole,Nitroimidazole,Narrow,0,35818,28.61,77.21
Delhi,2024-04,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,45001,28.61,77.21
Delhi,2024-04,19000000,Meropenem,Carbapenem,Very Broad,0,3112,28.61,77.21
Delhi,2024-05,19000000,Amoxicillin,Penicillin,Narrow,0,48840,28.61,77.21
Delhi,2024-05,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,112261,28.61,77.21
Delhi,2024-05,19000000,Azithromycin,Macrolide,Broad,0,71985,28.61,77.21
Delhi,2024-05,19000000,Cefixime,Cephalosporin,Broad,0,54843,28.61,77.21
Delhi,2024-05,19000000,Ceftriaxone,Cephalosporin,Broad,0,21947,28.61,77.21
Delhi,2024-05,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,49818,28.61,77.21
Delhi,2024-05,19000000,Doxycycline,Tetracycline,Broad,0,36794,28.61,77.21
Delhi,2024-05,19000000,Metronidazole,Nitroimidazole,Narrow,0,33832,28.61,77.21
Delhi,2024-05,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,39659,28.61,77.21
Delhi,2024-05,19000000,Meropenem,Carbapenem,Very Broad,0,3267,28.61,77.21
Delhi,2024-06,19000000,Amoxicillin,Penicillin,Narrow,0,45271,28.61,77.21
Delhi,2024-06,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,98242,28.61,77.21
Delhi,2024-06,19000000,Azithromycin,Macrolide,Broad,0,73427,28.61,77.21
Delhi,2024-06,19000000,Cefixime,Cephalosporin,Broad,0,53264,28.61,77.21
Delhi,2024-06,19000000,Ceftriaxone,Cephalosporin,Broad,0,20535,28.61,77.21
Delhi,2024-06,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,48981,28.61,77.21
Delhi,2024-06,19000000,Doxycycline,Tetracycline,Broad,0,40821,28.61,77.21
Delhi,2024-06,19000000,Metronidazole,Nitroimidazole,Narrow,0,39656,28.61,77.21
Delhi,2024-06,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,38366,28.61,77.21
Delhi,2024-06,19000000,Meropenem,Carbapenem,Very Broad,0,2950,28.61,77.21
Delhi,2024-07,19000000,Amoxicillin,Penicillin,Narrow,0,47523,28.61,77.21
Delhi,2024-07,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,90915,28.61,77.21
Delhi,2024-07,19000000,Azithromycin,Macrolide,Broad,0,60704,28.61,77.21
Delhi,2024-07,19000000,Cefixime,Cephalosporin,Broad,0,43828,28.61,77.21
Delhi,2024-07,19000000,Ceftriaxone,Cephalosporin,Broad,0,20025,28.61,77.21
Delhi,2024-07,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,42643,28.61,77.21
