Location,Month,Year,Month_Number,Quarter,Days,Population,Antibiotic,Class,Spectrum,Spectrum_Weight,Is_Combination,Quantity_Sold,Total_DDD,Latitude,Longitude,Resistance_Rate,Quantity_per_1000,Antibiotic_Share,Total_Monthly_Quantity,Total_Monthly_DDD,DDD_per_1000_per_day,Antibiotic_Class_Shift_Percent,Combination_Irrationality_Index_Percent,Volatility_Percent,Lag1_Quantity_Sold,Lag2_Quantity_Sold,Lag1_Resistance_Rate,Lag2_Resistance_Rate,Rolling_3M_Quantity,Rolling_3M_Resistance
Ahmedabad,2024-01,2024,1,1,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19354.0,29031.0,23.02,72.57,20.06,2.41925,0.11914406372736115,162442.0,182644.8,0.7364709677419354,0.0,29.291070043461666,8.853402930929496,19354.0,19354.0,20.06,20.06,19354.0,20.06
Ahmedabad,2024-02,2024,2,1,29,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,21265.0,31897.5,23.02,72.57,18.35,2.658125,0.12347148514161625,172226.0,196107.78,0.8452921551724137,2.9128006896366503,27.985902244724954,8.853402930929496,19354.0,19354.0,20.06,20.06,20309.5,19.205
Ahmedabad,2024-03,2024,3,1,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,17140.0,25710.0,23.02,72.57,18.56,2.1425,0.09111302480358073,188118.0,204759.0,0.8256411290322581,5.644334351464905,29.512858950233362,8.853402930929496,21265.0,19354.0,18.35,20.06,19253.0,18.99
Ahmedabad,2024-04,2024,4,2,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19789.0,29683.5,23.02,72.57,19.65,2.473625,0.10441311482329602,189526.0,214714.61999999997,0.8946442499999999,4.6053023125867885,31.095997382944816,8.853402930929496,17140.0,21265.0,18.56,18.35,19398.0,18.85333333333333
Ahmedabad,2024-05,2024,5,2,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,16358.0,24537.0,23.02,72.57,20.11,2.04475,0.09153376979463936,178710.0,193693.22,0.7810210483870967,5.299845647816721,27.236864193385934,8.853402930929496,19789.0,17140.0,19.65,18.56,17762.333333333332,19.439999999999998
Ahmedabad,2024-06,2024,6,2,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,22310.0,33465.0,23.02,72.57,19.18,2.78875,0.1249314025243871,178578.0,195898.46,0.8162435833333334,7.044303307828634,28.868057655478278,8.853402930929496,16358.0,19789.0,20.11,19.65,19485.666666666668,19.646666666666665
Ahmedabad,2024-07,2024,7,3,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19103.0,28654.5,23.02,72.57,20.82,2.387875,0.11362108856889651,168129.0,188244.65999999997,0.7590510483870967,3.511494711473498,28.893290271160836,8.853402930929496,22310.0,16358.0,19.18,20.11,19257.0,20.036666666666665
Ahmedabad,2024-08,2024,8,3,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,20617.0,30925.5,23.02,72.57,21.09,2.577125,0.12936319200868404,159373.0,179046.2,0.7219604838709678,3.148402733264687,28.14592183117592,8.853402930929496,19103.0,22310.0,20.82,19.18,20676.666666666668,20.363333333333333
Ahmedabad,2024-09,2024,9,3,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,20143.0,30214.5,23.02,72.57,23.2,2.517875,0.1301925450984701,154717.0,175416.2,0.7309008333333333,2.0094177072814703,28.989057440358852,8.853402930929496,20617.0,19103.0,21.09,20.82,19954.333333333332,21.703333333333333
Ahmedabad,2024-10,2024,10,4,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,17842.0,26763.0,23.02,72.57,20.29,2.23025,0.11198563932615299,159324.0,182367.87999999998,0.7353543548387096,4.8973040504989775,30.80703472169918,8.853402930929496,20143.0,20617.0,23.2,21.09,19534.0,21.526666666666667
Ahmedabad,2024-11,2024,11,4,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,18195.0,27292.5,23.02,72.57,20.62,2.274375,0.11644352856850297,156256.0,179691.88,0.7487161666666666,4.177009537809019,32.64194654925251,8.853402930929496,17842.0,20143.0,20.29,23.2,18726.666666666668,21.37
Ahmedabad,2024-12,2024,12,4,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,17409.0,26113.5,23.02,72.57,20.26,2.176125,0.10901269278696532,159697.0,174402.32,0.7032351612903226,5.920761731836956,28.86215771116552,8.853402930929496,18195.0,17842.0,20.62,20.29,17815.333333333332,20.39
Ahmedabad,2025-01,2025,1,1,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,17956.0,26934.0,23.02,72.57,19.54,2.2445,0.10485745319489377,171242.0,189993.5,0.7661028225806452,3.255607766563694,30.085493044930566,8.853402930929496,17409.0,18195.0,20.26,20.62,17853.333333333332,20.14
Ahmedabad,2025-02,2025,2,1,28,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,21724.0,32586.0,23.02,72.57,21.62,2.7155,0.11522162288308643,188541.0,213193.44,0.9517564285714286,1.8451294590861298,30.140393866586045,8.853402930929496,17956.0,17409.0,19.54,20.26,19029.666666666668,20.473333333333333
Ahmedabad,2025-03,2025,3,1,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19028.0,28542.0,23.02,72.57,22.89,2.3785,0.10169419058307948,187110.0,208783.84000000003,0.8418703225806453,2.1125410709639065,30.109561220672333,8.853402930929496,21724.0,17956.0,21.62,19.54,19569.333333333332,21.349999999999998
Ahmedabad,2025-04,2025,4,2,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,21062.0,31593.0,23.02,72.57,21.51,2.63275,0.11130370448660361,189230.0,214796.14,0.8949839166666667,2.8141537445324123,29.436135919251704,8.853402930929496,19028.0,21724.0,22.89,21.62,20604.666666666668,22.00666666666667
Ahmedabad,2025-05,2025,5,2,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19915.0,29872.5,23.02,72.57,23.26,2.489375,0.09607035350416795,207296.0,228990.09999999998,0.9233471774193547,6.379854413403523,29.95812750849027,8.853402930929496,21062.0,19028.0,21.51,22.89,20001.666666666668,22.553333333333338
