Location,Month,Antibiotic,Resistance_Rate
Delhi,2024-01,Amoxicillin,24.54
Delhi,2024-01,Amoxicillin-Clavulanate,23.0
Delhi,2024-01,Azithromycin,22.89
Delhi,2024-01,Cefixime,22.53
Delhi,2024-01,Ceftriaxone,24.34
Delhi,2024-01,Ciprofloxacin,21.28
Delhi,2024-01,Doxycycline,23.39
Delhi,2024-01,Metronidazole,22.35
Delhi,2024-01,Cotrimoxazole,22.41
Delhi,2024-01,Meropenem,21.88
Delhi,2024-02,Amoxicillin,23.66
Delhi,2024-02,Amoxicillin-Clavulanate,24.7
Delhi,2024-02,Azithromycin,26.34
Delhi,2024-02,Cefixime,24.77
Delhi,2024-02,Ceftriaxone,23.13
Delhi,2024-02,Ciprofloxacin,24.12
Delhi,2024-02,Doxycycline,23.36
Delhi,2024-02,Metronidazole,21.44
Delhi,2024-02,Cotrimoxazole,21.64
Delhi,2024-02,Meropenem,22.15
Delhi,2024-03,Amoxicillin,24.98
Delhi,2024-03,Amoxicillin-Clavulanate,21.75
Delhi,2024-03,Azithromycin,22.24
Delhi,2024-03,Cefixime,24.32
Delhi,2024-03,Ceftriaxone,24.06
Delhi,2024-03,Ciprofloxacin,25.24
Delhi,2024-03,Doxycycline,21.32
Delhi,2024-03,Metronidazole,25.29
Delhi,2024-03,Cotrimoxazole,21.59
Delhi,2024-03,Meropenem,20.23
Delhi,2024-04,Amoxicillin,24.31
Delhi,2024-04,Amoxicillin-Clavulanate,22.55
Delhi,2024-04,Azithromycin,23.26
Delhi,2024-04,Cefixime,23.89
Delhi,2024-04,Ceftriaxone,24.08
Delhi,2024-04,Ciprofloxacin,23.04
Delhi,2024-04,Doxycycline,23.62
Delhi,2024-04,Metronidazole,22.63
Delhi,2024-04,Cotrimoxazole,24.77
Delhi,2024-04,Meropenem,22.53
Delhi,2024-05,Amoxicillin,23.71
Delhi,2024-05,Amoxicillin-Clavulanate,22.32
Delhi,2024-05,Azithromycin,23.48
Delhi,2024-05,Cefixime,22.95
Delhi,2024-05,Ceftriaxone,23.2
Delhi,2024-05,Ciprofloxacin,24.93
Delhi,2024-05,Doxycycline,21.55
Delhi,2024-05,Metronidazole,24.89
Delhi,2024-05,Cotrimoxazole,24.1
Delhi,2024-05,Meropenem,23.03
Delhi,2024-06,Amoxicillin,23.91
Delhi,2024-06,Amoxicillin-Clavulanate,25.29
Delhi,2024-06,Azithromycin,23.94
Delhi,2024-06,Cefixime,23.87
Delhi,2024-06,Ceftriaxone,25.18
Delhi,2024-06,Ciprofloxacin,22.77
Delhi,2024-06,Doxycycline,21.97
Delhi,2024-06,Metronidazole,22.37
Delhi,2024-06,Cotrimoxazole,24.58
Delhi,2024-06,Meropenem,23.34
Delhi,2024-07,Amoxicillin,26.68
Delhi,2024-07,Amoxicillin-Clavulanate,23.91
Delhi,2024-07,Azithromycin,25.03
Delhi,2024-07,Cefixime,24.97
Delhi,2024-07,Ceftriaxone,24.41
Delhi,2024-07,Ciprofloxacin,25.52
Delhi,2024-07,Doxycycline,24.15
Delhi,2024-07,Metronidazole,23.36
Delhi,2024-07,Cotrimoxazole,24.7
Delhi,2024-07,Meropenem,23.64
Delhi,2024-08,Amoxicillin,25.72
Delhi,2024-08,Amoxicillin-Clavulanate,24.81
Delhi,2024-08,Azithromycin,23.3
Delhi,2024-08,Cefixime,25.52
Delhi,2024-08,Ceftriaxone,24.91
Delhi,2024-08,Ciprofloxacin,24.32
Delhi,2024-08,Doxycycline,24.29
Delhi,2024-08,Metronidazole,25.19
Delhi,2024-08,Cotrimoxazole,25.2
Delhi,2024-08,Meropenem,23.53
Delhi,2024-09,Amoxicillin,25.34
Delhi,2024-09,Amoxicillin-Clavulanate,26.04
Delhi,2024-09,Azithromycin,22.18
Delhi,2024-09,Cefixime,26.4
Delhi,2024-09,Ceftriaxone,23.81
Delhi,2024-09,Ciprofloxacin,23.96
Delhi,2024-09,Doxycycline,24.07
Delhi,2024-09,Metronidazole,26.85
Delhi,2024-09,Cotrimoxazole,26.92
Delhi,2024-09,Meropenem,24.97
Delhi,2024-10,Amoxicillin,26.88
Delhi,2024-10,Amoxicillin-Clavulanate,23.8
Delhi,2024-10,Azithromycin,25.48
Delhi,2024-10,Cefixime,25.43
Delhi,2024-10,Ceftriaxone,25.5
Delhi,2024-10,Ciprofloxacin,26.2
Delhi,2024-10,Doxycycline,24.61
Delhi,2024-10,Metronidazole,25.9
Delhi,2024-10,Cotrimoxazole,23.45
Delhi,2024-10,Meropenem,24.75
Delhi,2024-11,Amoxicillin,25.32
Delhi,2024-11,Amoxicillin-Clavulanate,25.21
Delhi,2024-11,Azithromycin,25.46
Delhi,2024-11,Cefixime,24.62
Delhi,2024-11,Ceftriaxone,26.38
Delhi,2024-11,Ciprofloxacin,25.61
Delhi,2024-11,Doxycycline,24.22
Delhi,2024-11,Metronidazole,24.25
Delhi,2024-11,Cotrimoxazole,25.23
Delhi,2024-11,Meropenem,23.66
Delhi,2024-12,Amoxicillin,26.15
Delhi,2024-12,Amoxicillin-Clavulanate,25.22
Delhi,2024-12,Azithromycin,24.32
Delhi,2024-12,Cefixime,27.45
Delhi,2024-12,Ceftriaxone,26.51
Delhi,2024-12,Ciprofloxacin,25.28
Delhi,2024-12,Doxycycline,24.98
Delhi,2024-12,Metronidazole,23.51
Delhi,2024-12,Cotrimoxazole,24.78
Delhi,2024-12,Meropenem,24.02
Delhi,2025-01,Amoxicillin,24.75
